UFID,GRND_FLR,HEIGHT,CONT,ABSOLUTE_HEIGHT,latitude,longitude
1999192942084470756800000000,1.0,5,12.60685037542735,17.60685037542735,37.5258926349249,126.92094366684579
2007192153444476880500000000,2.0,9,18.05325803254646,27.05325803254646,37.53140365640562,126.9120154028727
1999193061314471772900000000,1.0,6,12.67235284936271,18.67235284936271,37.52680909485969,126.92229156608741
1971194467634464720300000000,2.0,6,14.161983382893428,20.16198338289343,37.52046433379224,126.93820642935297
1975194070364467268000000000,12.0,36,14.224438746080846,50.22443874608085,37.5227573249942,126.93371052704825
1976194149694466248000000000,12.0,36,14.250755986553905,50.250755986553905,37.52183875407088,126.93460876587282
1975193971584465521000000000,12.0,36,13.901410300549593,49.90141030054959,37.52118257745438,126.93259450435671
1976192275134472715100000000,1.0,4,15.0,19.0,37.527651653375486,126.91339652988272
1987193100204473309100000000,10.0,41,12.398492977965628,53.39849297796563,37.5281935001929,126.92273000964624
1994194541354463046400000000,24.0,88,14.94415209501964,102.94415209501963,37.518956557097425,126.93904159635848
1984193720294466799800000000,18.0,69,13.64063521116215,82.64063521116215,37.52233305707566,126.92975083947525
1984194086894462411900000000,7.0,21,14.69005297800333,35.69005297800333,37.51838206707679,126.93390142731367
2005192853084475653600000000,11.0,42,13.776222894135497,55.7762228941355,37.53030397310786,126.9199320109713
2003192990834474577500000000,13.0,39,13.724026483456749,52.72402648345675,37.529335503450746,126.9214915297595
1986192897454473629400000000,10.0,30,13.267117452168016,43.267117452168016,37.52848046724172,126.9204359218392
1991192933014475290000000000,11.0,33,14.535179966073281,47.53517996607328,37.529977010995154,126.92083668922295
1984192968434474185300000000,10.0,30,13.469565728586126,43.469565728586126,37.528981929309175,126.92123846350935
2001192941774472118500000000,8.0,39,12.734378653175003,51.734378653175,37.52711957754487,126.92093879286922
2004192829204473471200000000,14.0,40,13.748033307158627,53.74803330715863,37.52833744322747,126.91966397283264
1977192469884472207000000000,2.0,6,14.066351742703755,20.066351742703755,37.52719548241745,126.91560029028108
1992193072344474949900000000,11.0,33,13.604541111757612,46.60454111175761,37.52967157341999,126.9224133037847
1995193039284472888400000000,8.0,40,12.250696219182428,52.25069621918243,37.52781395110389,126.9220411974524
1984193057014475294900000000,12.0,36,13.964914339519353,49.96491433951935,37.52998234130402,126.92223946456684
0000192778574473273600000000,9.0,41,13.630732930444529,54.63073293044453,37.528159006756184,126.91909138407473
1998192775734477555000000000,3.0,16,15.0,31.0,37.53201644939089,126.91905500003708
2007192674174477154300000000,7.0,34,16.552630012534713,50.55263001253471,37.531654659118395,126.9179064050584
1979192303344472947600000000,8.0,24,15.080572115223848,39.080572115223845,37.52786136517397,126.91371542182137
2007192171664476400900000000,2.0,10,17.413276204691957,27.413276204691957,37.53097164351704,126.91222207127907
1995192894044476213000000000,2.0,8,13.735691578325927,21.735691578325927,37.53080828505941,126.92039487279459
1976192341634477422000000000,7.0,28,20.049470852292785,48.049470852292785,37.5318931082073,126.91414394801207
1990193716514466219900000000,14.0,55,13.614121385146715,68.61412138514672,37.52181061706024,126.92970856248981
1976193811794462996000000000,15.0,56,13.148149261665367,69.14814926166537,37.51890651280186,126.93078914025695
1978193347434463946400000000,13.0,39,14.702018229803446,53.70201822980344,37.51975952527061,126.92553547398337
1975193883504466674800000000,12.0,36,13.942034307442656,49.942034307442654,37.52222157972408,126.93159720792444
1974194098244464054200000000,12.0,36,14.097135376384937,50.09713537638494,37.51986182551581,126.93402853543955
1974194240354463050500000000,12.0,36,14.644660767006956,50.644660767006954,37.518958388303496,126.93563675424362
1974194159294463075500000000,12.0,36,14.457909250407347,50.45790925040735,37.51898045522466,126.93471985333771
1974194160584462431200000000,12.0,36,14.779369551040103,50.779369551040105,37.5183999510851,126.93473492738991
1971194284094465321700000000,12.0,36,14.497485713774584,50.49748571377458,37.521005056021714,126.93612978011612
1971194432294466050900000000,12.0,36,14.592393521021709,50.592393521021705,37.5216629411514,126.93780573265666
1971194485624466236700000000,12.0,36,14.836123036056808,50.836123036056804,37.5218307148684,126.93840879624241
0000194390874465709300000000,2.0,6,14.15410932770717,20.154109327707168,37.52135489796859,126.93733736354196
1979193091394474709600000000,10.0,30,13.310269853784481,43.31026985378448,37.529455274446185,126.92262898703797
2003192891614475922200000000,13.0,38,13.854532069946758,51.85453206994676,37.530546275172476,126.920367691914
2001192332534479144500000000,1.0,5,17.128449513730445,22.128449513730445,37.53344505072641,126.91403909906315
1993193035644475146000000000,11.0,40,13.954460475070368,53.95446047507037,37.529848024973525,126.92199792010628
2006192954334474073500000000,13.0,39,13.427880399044366,52.42788039904437,37.52888109889326,126.9210790353309
2001192877864475372800000000,13.0,40,13.996185163809757,53.996185163809756,37.53005115658471,126.92021268097002
